,"1980 Census, married mothers","1980 Census, Black/Hispanic mothers","CPS ASEC 2021-23, all mothers","CPS ASEC 2021-23, married mothers"
N,254654.0,31857.0,9171.0,6559.0
morekids,0.38056343116542446,0.49100668612863735,0.45929833300645045,0.45242266741411585
samesex,0.5055683397865339,0.5027780393634053,0.49943133974992876,0.5022198872002512
twoboys,0.26623968207842796,0.25994286969896724,0.2653134363257927,0.26684561886510494
twogirls,0.2393286577081059,0.24283516966443797,0.23411790342413605,0.23537426833514632
boy1st,0.5143606619177393,0.5112848039677308,0.5213559154235688,0.5208928271315111
worked,0.5282186810338734,0.5897918824748093,0.688642106424666,0.6558136553424607
weeks,19.018334681567932,22.67354113695577,,
age,30.39326694259662,29.74175220516684,31.20208894997431,31.453899162584367
black,0.05166225545249633,0.41297046175094954,0.16950422919503988,0.08979931150479512
hispanic,0.07420657048387223,0.5931820322064224,0.2686106217044713,0.2526493866618977
other,0.05634311654244583,0.0,0.08764984904164266,0.09608120188186144
kids,,2.752236557114606,2.73100795092894,2.72099880098564
hours,,21.22010861035251,22.310205709739968,21.387001636751354
labinc,,8.531142707008401,29.344026506805843,31.569019585099877
agefst,,20.117744922622972,22.002284975185425,22.750766035323394
educ,,11.005336346799762,,
married,,,0.6885477637416301,1.0
