state_fips,state,date,minwage,source
2,Alaska,2023-01-01,10.85,index (from memory - verify)
2,Alaska,2024-01-01,11.73,index (from memory - verify)
2,Alaska,2025-01-01,11.91,index (from memory - verify)
2,Alaska,2025-07-01,13.00,Ballot Measure 1 (2024) (from memory - verify)
4,Arizona,2023-01-01,13.85,index (from memory - verify)
4,Arizona,2024-01-01,14.35,index (from memory - verify)
4,Arizona,2025-01-01,14.70,index (from memory - verify)
6,California,2023-01-01,15.50,index (from memory - verify)
6,California,2024-01-01,16.00,index (from memory - verify)
6,California,2025-01-01,16.50,index (from memory - verify)
8,Colorado,2023-01-01,13.65,index (from memory - verify)
8,Colorado,2024-01-01,14.42,index (from memory - verify)
8,Colorado,2025-01-01,14.81,index (from memory - verify)
9,Connecticut,2023-06-01,15.00,PA 19-4 schedule (from memory - verify)
9,Connecticut,2024-01-01,15.69,index (from memory - verify)
9,Connecticut,2025-01-01,16.35,index (from memory - verify)
11,District of Columbia,2023-07-01,17.00,index (from memory - verify)
11,District of Columbia,2024-07-01,17.50,index (from memory - verify)
11,District of Columbia,2025-07-01,17.95,index (from memory - verify)
23,Maine,2023-01-01,13.80,index (from memory - verify)
23,Maine,2024-01-01,14.15,index (from memory - verify)
23,Maine,2025-01-01,14.65,index (from memory - verify)
24,Maryland,2024-01-01,15.00,2023 Fair Wage Act acceleration (from memory - verify)
26,Michigan,2023-01-01,10.10,schedule (from memory - verify)
26,Michigan,2024-01-01,10.33,schedule (from memory - verify)
26,Michigan,2025-01-01,10.56,schedule (from memory - verify)
26,Michigan,2025-02-21,12.48,2024 Supreme Court ruling (from memory - verify)
27,Minnesota,2023-01-01,10.59,index (from memory - verify)
27,Minnesota,2024-01-01,10.85,index (from memory - verify)
27,Minnesota,2025-01-01,11.13,index; unified rate (from memory - verify)
29,Missouri,2024-01-01,12.30,index (from memory - verify)
29,Missouri,2025-01-01,13.75,Proposition A (2024) (from memory - verify)
30,Montana,2023-01-01,9.95,index (from memory - verify)
30,Montana,2024-01-01,10.30,index (from memory - verify)
30,Montana,2025-01-01,10.55,index (from memory - verify)
31,Nebraska,2023-01-01,10.50,Initiative 433 (2022) (from memory - verify)
31,Nebraska,2024-01-01,12.00,Initiative 433 (2022) (from memory - verify)
31,Nebraska,2025-01-01,13.50,Initiative 433 (2022) (from memory - verify)
32,Nevada,2023-07-01,11.25,AB456 schedule (no-benefits rate) (from memory - verify)
32,Nevada,2024-07-01,12.00,Ballot Question 2 (2022) (from memory - verify)
34,New Jersey,2023-01-01,14.13,schedule + index (from memory - verify)
34,New Jersey,2024-01-01,15.13,schedule + index (from memory - verify)
34,New Jersey,2025-01-01,15.49,index (from memory - verify)
36,New York,2024-01-01,15.00,upstate rate; FY2024 budget (from memory - verify)
36,New York,2025-01-01,15.50,upstate rate (from memory - verify)
39,Ohio,2023-01-01,10.10,index (from memory - verify)
39,Ohio,2024-01-01,10.45,index (from memory - verify)
39,Ohio,2025-01-01,10.70,index (from memory - verify)
41,Oregon,2023-07-01,14.20,standard rate; index (from memory - verify)
41,Oregon,2024-07-01,14.70,standard rate; index (from memory - verify)
41,Oregon,2025-07-01,15.05,standard rate; index (from memory - verify)
46,South Dakota,2023-01-01,10.80,index (from memory - verify)
46,South Dakota,2024-01-01,11.20,index (from memory - verify)
46,South Dakota,2025-01-01,11.50,index (from memory - verify)
50,Vermont,2023-01-01,13.18,index (from memory - verify)
50,Vermont,2024-01-01,13.67,index (from memory - verify)
50,Vermont,2025-01-01,14.01,index (from memory - verify)
51,Virginia,2025-01-01,12.41,index (from memory - verify)
53,Washington,2023-01-01,15.74,index (from memory - verify)
53,Washington,2024-01-01,16.28,index (from memory - verify)
53,Washington,2025-01-01,16.66,index (from memory - verify)
